Indicator,Source_URL,Risk_Type,Cat_Layer,Actuarial_Justification
CHIRPS RX5day — annual max 5-consecutive-day precip (RX5day_mm),climexp.knmi.nl (CHIRPS v2.0),Physical,Hazard — primary EVT input,"WMO ETCCDI RX5day index cited in IPCC AR6 WG1 Ch.11. 5-day window captures basin-scale catchment saturation driving property flood loss. MYS mean 133.9mm; PHL mean 244.4mm; PHL peak 594mm (Typhoon Pablo 2012). Separate GEV required per country — MYS flood-dominated (81 events), PHL typhoon-dominated (414 events)."
WDI Total GHG AR5 (WB_WDI_EN_GHG_ALL_MT_CE_AR5),databank.worldbank.org/WDI,Physical+Transition,Hazard — ARIMA forecast target (R2),"Upstream atmospheric forcing for physical risk. IPCC AR6: +7% extreme precip per °C of warming. ARIMA forecast target for R2 deliverable. MYS +271% growth (85.7→318.4 MtCO₂e), PHL +177% (92.0→254.5 MtCO₂e) from 1990 to 2023. Verified column: WB_WDI_EN_GHG_ALL_MT_CE_AR5 (not EN.ATM.GHGT.KT.CE)."
NOAA ONI SST Anomaly — DJF season (ANOM),cpc.ncep.noaa.gov/data/indices/oni.ascii.txt,Physical,Hazard — inter-annual dependence structure,"ENSO inter-annual loss driver. La Niña (DJF ANOM < -0.5°C) → simultaneous MYS flood spike + PHL storm intensification. Creates correlated loss years across SEA combined book. Undermines independence copula assumption in standard cat treaty pricing. NOAA 1950-2026, 12 seasons/year."
WDI Urban population % (SP.URB.TOTL.IN.ZS),databank.worldbank.org/WDI,Physical,Vulnerability — asset density multiplier,Asset concentration multiplier. MYS: 49%→76.4% urban 1990-2023 (+56% density). Same flood hazard footprint × more insured urban assets = structural EAL increase independent of any change in hazard intensity. Key non-climate driver of reserve inadequacy.
WDI Climate-exposed population % (EN.CLC.MDAT.ZS),databank.worldbank.org/WDI,Physical,"Vulnerability — exposure proxy (has gaps, handle carefully)","Disaster frequency proxy. Cross-validated with EM-DAT: MYS 81 flood + 8 storm events; PHL 414 storm + 165 flood events. Has data gaps per missing_data_log.csv — impute with forward-fill only for smoothing, flag explicitly in submission."
WDI Forest area % of land (AG.LND.FRST.ZS),databank.worldbank.org/WDI,Physical,Vulnerability — flood amplifier + LULUCF carbon stock proxy,Dual role: (1) carbon stock under LULUCF regulations — MYS net emitter +63.3 MtCO₂e (palm oil/Borneo logging); (2) hydrological — forest loss increases runoff coefficient and flood peak flow. Directly links physical risk channel to transition risk channel.
WDI GDP per capita USD (NY.GDP.PCAP.CD),databank.worldbank.org/WDI,Physical,Loss — insurance penetration / insured value per km²,Insurance penetration proxy. Higher GDP per capita → more insured value per km² of flood/typhoon footprint → larger treaty exposure per event. Also compounds urbanisation effect: MYS GDP/capita growth × 56% more urban density = double amplification of EAL.
WDI GHG per GDP — intensity (EN_GHG_CO2_RT_GDP_KD),databank.worldbank.org/WDI,Transition,Transition pressure — GHG decoupling metric,GHG decoupling metric. Falling = green transition underway. Flat/rising = locked to fossil growth = higher NGFS transition cost exposure. Measures how much economic growth is still carbon-coupled. Actual column: EN_GHG_CO2_RT_GDP_KD.
WDI GHG per capita AR5 (WB_WDI_EN_GHG_CO2_PC_CE_AR5),databank.worldbank.org/WDI,Transition,Transition pressure — per-capita emission intensity,"Per-capita emission intensity. Flags inequality in transition burden between MYS (higher per-capita, fossil-heavy economy) and PHL (lower per-capita, more renewable capacity). Input to country-level differentiated surcharge. Verified column: WB_WDI_EN_GHG_CO2_PC_CE_AR5."
WDI Fossil fuel % of energy (EG.USE.COMM.FO.ZS) [gap 2021-23],databank.worldbank.org/WDI,Transition,Transition pressure — energy mix composition (treat 0.0 as gap not true zero),Energy mix composition — fossil dependency. CAUTION: shows 0.0 for MYS 2021-2023 which is a data gap (not true zero). Use 1990-2020 range only. 90%+ fossil share throughout confirms MYS energy transition urgency and high compliance cost under BNM CCPT.
WDI Renewable energy share % (EG.FEC.RNEW.ZS) [MYS gap 2022-23],databank.worldbank.org/WDI,Transition,Transition progress — renewable share (MYS 2022-23 missing),Transition progress — declining fossil share counterfactual. Missing MYS 2022-2023 (per missing_data_log.csv edge gap). Low renewable % = high adjustment cost under NGFS Net Zero trajectory. Use trend extrapolation to 2022-2023 if needed for R2 narrative.
Climate Watch: Energy sector GHG MYS + PHL,climatewatchdata.org/ghg-emissions,Transition,Transition exposure — dominant sector both countries,"Dominant sector both countries. MYS Energy 2023: 279.85 MtCO₂e = $15,554M/yr at NZ price (69.5% of MYS total). PHL Energy 2023: 160.73 MtCO₂e. Carbon price × GHG volume = annual regulatory compliance cost. Primary Exhibit 2 driver."
Climate Watch: LULUCF — MYS net EMITTER; PHL net SINK,climatewatchdata.org/ghg-emissions,Transition,Transition exposure — KEY ASYMMETRY: MYS emitter vs PHL sink,"KEY PRICING ASYMMETRY: MYS LULUCF = +63.3 MtCO₂e (net emitter — palm oil deforestation, Sabah/Sarawak). PHL LULUCF = -26.9 MtCO₂e (net carbon SINK — reforestation, REDD+). MYS faces EU Deforestation Regulation + BNM CCPT LULUCF clauses. PHL does not. Uniform SEA LULUCF factor is actuarially incorrect."
Climate Watch: Agriculture — PHL rice methane 6× MYS,climatewatchdata.org/ghg-emissions,Transition,Transition exposure — PHL agricultural methane pathway,"PHL agriculture = 65.85 MtCO₂e (2023), 6× MYS (10.11 MtCO₂e). Mechanism: rice paddy methane (GWP 28× CO₂). Completely different regulatory pathway from MYS deforestation risk. PHL cedants face methane emission credit schemes; MYS faces land-use change regulations."
Climate Watch: Industrial Processes (cement + mfg),climatewatchdata.org/ghg-emissions,Transition,Transition exposure — cement + manufacturing stranded assets,Cement + manufacturing sector. MYS: 29.87 MtCO₂e. PHL: 16.75 MtCO₂e. Stranded asset risk: carbon-intensive industrial plants face write-down under escalating CCPT. Treaty property values tied to industrial real estate are transition-exposed.
NGFS GCAM 6.0: NZ2050 vs Current Policies carbon price gap,ngfs.net/ngfs-scenarios-portal (GCAM 6.0),Transition,Regulatory cost scalar — NZ price minus CP price = $55.578/t,"NGFS GCAM 6.0 policy gap: $55.578/tonne (NZ2050) - $0 (Current Policies) = $55.578/tonne (verified in outputs/exhibit_2_transition_cost_results.csv). Applied to Climate Watch 2023 GHG baselines → MYS total annual compliance cost = $22,383M/yr."
